Player,Tm_Abr,G_Tot,GS_Tot,Tgt_Tot,Rec_Tot,Ctch%_Tot,Yds_Tot,Y/R_Tot,TD_Tot,1D_Tot,Lng_Tot,Y/Tgt_Tot,R/G_Tot,Y/G_Tot,Fmb_Tot,Team,Pos,receiving/receiving-receptions_home_Avg,receiving/receiving-receptions_division_Avg,receiving/receiving-receptions_last_2_weeks_Avg,receiving/receiving-receptions_last_4_weeks_Avg,receiving/receiving-receptions_top_10_nfl_Avg,receiving/receiving-yards_home_Avg,receiving/receiving-yards_division_Avg,receiving/receiving-yards_last_2_weeks_Avg,receiving/receiving-yards_last_4_weeks_Avg,receiving/receiving-yards_top_10_nfl_Avg,receiving/receiving-yards-per-catch_home_Avg,receiving/receiving-yards-per-catch_division_Avg,receiving/receiving-yards-per-catch_last_2_weeks_Avg,receiving/receiving-yards-per-catch_last_4_weeks_Avg,receiving/receiving-yards-per-catch_top_10_nfl_Avg,receiving/receiving-touchdowns_home_Avg,receiving/receiving-touchdowns_division_Avg,receiving/receiving-touchdowns_last_2_weeks_Avg,receiving/receiving-touchdowns_last_4_weeks_Avg,receiving/receiving-touchdowns_top_10_nfl_Avg,receiving/receiving-longest-yards_home_Avg,receiving/receiving-longest-yards_division_Avg,receiving/receiving-longest-yards_last_2_weeks_Avg,receiving/receiving-longest-yards_last_4_weeks_Avg,receiving/receiving-longest-yards_top_10_nfl_Avg,receiving/receiving-targeted_home_Avg,receiving/receiving-targeted_division_Avg,receiving/receiving-targeted_last_2_weeks_Avg,receiving/receiving-targeted_last_4_weeks_Avg,receiving/receiving-targeted_top_10_nfl_Avg,receiving/receiving-catch-rate_home_Avg,receiving/receiving-catch-rate_division_Avg,receiving/receiving-catch-rate_last_2_weeks_Avg,receiving/receiving-catch-rate_last_4_weeks_Avg,receiving/receiving-catch-rate_top_10_nfl_Avg,receiving/receiving-2pt-conversions-succeeded_home_Avg,receiving/receiving-2pt-conversions-succeeded_division_Avg,receiving/receiving-2pt-conversions-succeeded_last_2_weeks_Avg,receiving/receiving-2pt-conversions-succeeded_last_4_weeks_Avg,receiving/receiving-2pt-conversions-succeeded_top_10_nfl_Avg
Darnell Mooney,CHI,17.0,14.0,140.0,81.0,57.9,1055.0,13.0,4.0,49.0,64.0,7.5,4.8,62.1,0.0,Chicago Bears,WR,5.5,5.5,0.0,0.0,4.29,72.5,83.5,0.0,0.0,45.14,13.2,15.2,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.0,64.0,64.0,0.0,0.0,0.0,9.38,8.5,0.0,0.0,7.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ceedee Lamb,DAL,16.0,13.0,120.0,79.0,65.8,1102.0,13.9,6.0,54.0,49.0,9.2,4.9,68.9,0.0,0,0,0.0,4.33,0.0,0.0,3.67,52.25,62.0,0.0,0.0,46.33,16.7,14.3,0.0,0.0,12.6,0.38,0.0,0.0,0.0,0.33,49.0,49.0,0.0,0.0,0.0,5.5,5.83,0.0,0.0,8.0,0.0,74.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dalton Schultz,DAL,17.0,15.0,104.0,78.0,75.0,808.0,10.4,8.0,43.0,32.0,7.8,4.6,47.5,0.0,Dallas Cowboys,TE,5.22,5.33,0.0,0.0,6.33,61.78,55.5,0.0,0.0,62.33,11.8,0.0,0.0,0.0,0.0,0.56,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,7.11,6.33,0.0,0.0,7.33,73.4,84.2,0.0,0.0,86.4,0.11,0.0,0.0,0.0,0.0
Christian Kirk,ARI,17.0,11.0,103.0,77.0,74.8,982.0,12.8,5.0,44.0,50.0,9.5,4.5,57.8,0.0,Arizona Cardinals,WR,4.38,3.57,0.0,0.0,4.0,54.38,48.57,0.0,0.0,53.5,12.4,13.6,0.0,0.0,13.4,0.0,0.0,0.0,0.0,0.0,47.0,50.0,0.0,0.0,50.0,5.75,5.29,0.0,0.0,5.7,76.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terry Mclaurin,WAS,17.0,17.0,130.0,77.0,59.2,1053.0,13.7,5.0,47.0,46.0,8.1,4.5,61.9,0.0,Washington Commanders,WR,5.0,4.5,0.0,0.0,4.0,51.75,58.67,0.0,0.0,51.71,0.0,13.0,0.0,0.0,12.9,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,40.0,7.88,6.83,0.0,0.0,7.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deebo Samuel,SFO,16.0,15.0,121.0,77.0,63.6,1405.0,18.2,6.0,51.0,83.0,11.6,4.8,87.8,4.0,San Francisco 49ers,WR,4.75,4.83,0.0,3.5,4.67,75.38,90.17,0.0,58.0,81.67,15.9,18.7,0.0,16.6,17.5,0.63,0.67,0.0,0.5,0.44,76.0,76.0,0.0,44.0,76.0,7.88,8.17,0.0,5.5,6.67,0.0,0.0,0.0,63.6,0.0,0.0,0.0,0.0,0.0,0.0
Mike Williams,LAC,16.0,14.0,129.0,76.0,58.9,1146.0,15.1,9.0,51.0,72.0,8.9,4.8,71.6,0.0,Los Angeles Chargers,WR,4.33,4.5,0.0,0.0,5.5,65.44,67.17,0.0,0.0,93.0,15.1,14.9,0.0,0.0,16.9,0.56,0.67,0.0,0.0,0.75,72.0,47.0,0.0,0.0,47.0,7.33,8.5,0.0,0.0,8.75,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.25
Dk Metcalf,SEA,17.0,17.0,129.0,75.0,58.1,967.0,12.9,12.0,48.0,84.0,7.5,4.4,56.9,1.0,Seattle Seahawks,WR,4.5,4.83,0.0,0.0,4.83,60.63,60.67,0.0,0.0,59.0,13.5,12.6,0.0,0.0,12.2,1.13,0.5,0.0,0.0,0.5,84.0,0.0,0.0,0.0,0.0,7.13,8.67,0.0,0.0,8.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zach Ertz,2TM,17.0,14.0,112.0,74.0,66.1,763.0,10.3,5.0,40.0,47.0,6.8,4.4,44.9,0.0,Arizona Cardinals,TE,4.67,5.0,0.0,0.0,4.73,47.67,52.5,0.0,0.0,44.82,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.36,47.0,0.0,0.0,0.0,0.0,6.78,7.0,0.0,0.0,6.45,0.0,71.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mike Evans,TAM,16.0,16.0,114.0,74.0,64.9,1035.0,14.0,14.0,56.0,46.0,9.1,4.6,64.7,0.0,Tampa Bay Buccaneers,WR,5.6,4.2,0.0,8.0,6.25,79.1,65.0,0.0,119.0,85.0,14.1,15.5,0.0,14.9,13.6,1.3,1.0,0.0,1.0,0.5,55.0,41.0,0.0,55.0,55.0,8.4,6.2,0.0,16.0,9.5,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
