Away,Home,Result,Week
Miami,N.Y. Jets,MIA 24 - NYJ 17,11
New Orleans,Philadelphia,PHI 40 - NO 29,11
San Francisco,Jacksonville,SF 30 - JAC 10,11
Washington,Carolina,WAS 27 - CAR 21,11
Cincinnati,Las Vegas,CIN 32 - LV 13,11
Arizona,Seattle,ARI 23 - SEA 13,11
Dallas,Kansas City,KC 19 - DAL 9,11
Pittsburgh,L.A. Chargers,LAC 41 - PIT 37,11
N.Y. Giants,Tampa Bay,TB 30 - NYG 10,11
Chicago,Detroit,CHI 16 - DET 14,12
Las Vegas,Dallas,LV 36 - DAL 33 / OT,12
Buffalo,New Orleans,BUF 31 - NO 6,12
Carolina,Miami,MIA 33 - CAR 10,12
Atlanta,Jacksonville,ATL 21 - JAC 14,12
N.Y. Jets,Houston,NYJ 21 - HOU 14,12
Philadelphia,N.Y. Giants,NYG 13 - PHI 7,12
Pittsburgh,Cincinnati,CIN 41 - PIT 10,12
Tampa Bay,Indianapolis,TB 38 - IND 31,12
Tennessee,New England,NE 36 - TEN 13,12
L.A. Chargers,Denver,DEN 28 - LAC 13,12
L.A. Rams,Green Bay,GB 36 - LAR 28,12
Minnesota,San Francisco,SF 34 - MIN 26,12
Cleveland,Baltimore,BAL 16 - CLE 10,12
Seattle,Washington,WAS 17 - SEA 15,12
Dallas,New Orleans,DAL 27 - NO 17,13
Arizona,Chicago,ARI 33 - CHI 22,13
Indianapolis,Houston,IND 31 - HOU 0,13
L.A. Chargers,Cincinnati,LAC 41 - CIN 22,13
Minnesota,Detroit,DET 29 - MIN 27,13
N.Y. Giants,Miami,MIA 20 - NYG 9,13
Philadelphia,N.Y. Jets,PHI 33 - NYJ 18,13
Tampa Bay,Atlanta,TB 30 - ATL 17,13
Jacksonville,L.A. Rams,LAR 37 - JAC 7,13
Washington,Las Vegas,WAS 17 - LV 15,13
Baltimore,Pittsburgh,PIT 20 - BAL 19,13
San Francisco,Seattle,SEA 30 - SF 23,13
Denver,Kansas City,KC 22 - DEN 9,13
New England,Buffalo,NE 14 - BUF 10,13
Pittsburgh,Minnesota,MIN 36 - PIT 28,14
Atlanta,Carolina,ATL 29 - CAR 21,14
Baltimore,Cleveland,CLE 24 - BAL 22,14
Dallas,Washington,DAL 27 - WAS 20,14
Jacksonville,Tennessee,TEN 20 - JAC 0,14
Las Vegas,Kansas City,KC 48 - LV 9,14
New Orleans,N.Y. Jets,NO 30 - NYJ 9,14
Seattle,Houston,SEA 33 - HOU 13,14
Detroit,Denver,DEN 38 - DET 10,14
N.Y. Giants,L.A. Chargers,LAC 37 - NYG 21,14
Buffalo,Tampa Bay,TB 33 - BUF 27 / OT,14
San Francisco,Cincinnati,SF 26 - CIN 23 / OT,14
Chicago,Green Bay,GB 45 - CHI 30,14
L.A. Rams,Arizona,LAR 30 - ARI 23,14
Kansas City,L.A. Chargers,KC 34 - LAC 28 / OT,15
New England,Indianapolis,IND 27 - NE 17,15
Arizona,Detroit,DET 30 - ARI 12,15
Carolina,Buffalo,BUF 31 - CAR 14,15
Dallas,N.Y. Giants,DAL 21 - NYG 6,15
Houston,Jacksonville,HOU 30 - JAC 16,15
N.Y. Jets,Miami,MIA 31 - NYJ 24,15
Tennessee,Pittsburgh,PIT 19 - TEN 13,15
Atlanta,San Francisco,SF 31 - ATL 13,15
Cincinnati,Denver,CIN 15 - DEN 10,15
Green Bay,Baltimore,GB 31 - BAL 30,15
New Orleans,Tampa Bay,NO 9 - TB 0,15
San Francisco,Tennessee,TEN 20 - SF 17,16
Cleveland,Green Bay,GB 24 - CLE 22,16
Indianapolis,Arizona,IND 22 - ARI 16,16
Buffalo,New England,BUF 33 - NE 21,16
Baltimore,Cincinnati,CIN 41 - BAL 21,16
Detroit,Atlanta,ATL 20 - DET 16,16
Jacksonville,N.Y. Jets,NYJ 26 - JAC 21,16
L.A. Chargers,Houston,HOU 41 - LAC 29,16
L.A. Rams,Minnesota,LAR 30 - MIN 23,16
N.Y. Giants,Philadelphia,PHI 34 - NYG 10,16
Tampa Bay,Carolina,TB 32 - CAR 6,16
Chicago,Seattle,CHI 25 - SEA 24,16
Denver,Las Vegas,LV 17 - DEN 13,16
Pittsburgh,Kansas City,KC 36 - PIT 10,16
Washington,Dallas,DAL 56 - WAS 14,16
Jacksonville,New England,NE 50 - JAC 10,16
Atlanta,Buffalo,BUF 29 - ATL 15,16
Kansas City,Cincinnati,CIN 34 - KC 31,16
L.A. Rams,Baltimore,LAR 20 - BAL 19,16
Las Vegas,Indianapolis,LV 23 - IND 20,16
Miami,Tennessee,TEN 34 - MIA 3,16
N.Y. Giants,Chicago,CHI 29 - NYG 3,16
Philadelphia,Washington,PHI 20 - WAS 16,16
Tampa Bay,N.Y. Jets,TB 28 - NYJ 24,16
Houston,San Francisco,SF 23 - HOU 7,16
Denver,L.A. Chargers,LAC 34 - DEN 13,16
Arizona,Dallas,ARI 25 - DAL 22,16
Carolina,New Orleans,NO 18 - CAR 10,16
Detroit,Seattle,SEA 51 - DET 29,16
Minnesota,Green Bay,GB 37 - MIN 10,16
Cleveland,Pittsburgh,PIT 26 - CLE 14,16
Jacksonville,New England,NE 50 - JAC 10,17
Atlanta,Buffalo,BUF 29 - ATL 15,17
Kansas City,Cincinnati,CIN 34 - KC 31,17
L.A. Rams,Baltimore,LAR 20 - BAL 19,17
Las Vegas,Indianapolis,LV 23 - IND 20,17
Miami,Tennessee,TEN 34 - MIA 3,17
N.Y. Giants,Chicago,CHI 29 - NYG 3,17
Philadelphia,Washington,PHI 20 - WAS 16,17
Tampa Bay,N.Y. Jets,TB 28 - NYJ 24,17
Houston,San Francisco,SF 23 - HOU 7,17
Denver,L.A. Chargers,LAC 34 - DEN 13,17
Arizona,Dallas,ARI 25 - DAL 22,17
Carolina,New Orleans,NO 18 - CAR 10,17
Detroit,Seattle,SEA 51 - DET 29,17
Minnesota,Green Bay,GB 37 - MIN 10,17
Cleveland,Pittsburgh,PIT 26 - CLE 14,17
Jacksonville,New England,NE 50 - JAC 10,17
Atlanta,Buffalo,BUF 29 - ATL 15,17
Kansas City,Cincinnati,CIN 34 - KC 31,17
L.A. Rams,Baltimore,LAR 20 - BAL 19,17
Las Vegas,Indianapolis,LV 23 - IND 20,17
Miami,Tennessee,TEN 34 - MIA 3,17
N.Y. Giants,Chicago,CHI 29 - NYG 3,17
Philadelphia,Washington,PHI 20 - WAS 16,17
Tampa Bay,N.Y. Jets,TB 28 - NYJ 24,17
Houston,San Francisco,SF 23 - HOU 7,17
Denver,L.A. Chargers,LAC 34 - DEN 13,17
Arizona,Dallas,ARI 25 - DAL 22,17
Carolina,New Orleans,NO 18 - CAR 10,17
Detroit,Seattle,SEA 51 - DET 29,17
Minnesota,Green Bay,GB 37 - MIN 10,17
Cleveland,Pittsburgh,PIT 26 - CLE 14,17
Jacksonville,New England,NE 50 - JAC 10,17
Atlanta,Buffalo,BUF 29 - ATL 15,17
Kansas City,Cincinnati,CIN 34 - KC 31,17
L.A. Rams,Baltimore,LAR 20 - BAL 19,17
Las Vegas,Indianapolis,LV 23 - IND 20,17
Miami,Tennessee,TEN 34 - MIA 3,17
N.Y. Giants,Chicago,CHI 29 - NYG 3,17
Philadelphia,Washington,PHI 20 - WAS 16,17
Tampa Bay,N.Y. Jets,TB 28 - NYJ 24,17
Houston,San Francisco,SF 23 - HOU 7,17
Denver,L.A. Chargers,LAC 34 - DEN 13,17
Arizona,Dallas,ARI 25 - DAL 22,17
Carolina,New Orleans,NO 18 - CAR 10,17
Detroit,Seattle,SEA 51 - DET 29,17
Minnesota,Green Bay,GB 37 - MIN 10,17
Cleveland,Pittsburgh,PIT 26 - CLE 14,17
